DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,OC2,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_TOTAL,2023,71116.611,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_01,2023,,U,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_02,2023,,U,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_11,2023,137.732,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_12,2023,2543.654,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_13,2023,1362.882,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_14,2023,10021.196,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_21,2023,746.374,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_22,2023,427.675,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_23,2023,2036.217,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_24,2023,197.787,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_25,2023,37.748,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_26,2023,464.14,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_31,2023,508.028,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_32,2023,238.313,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_33,2023,787.993,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_34,2023,301.24,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_35,2023,75.542,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_41,2023,115.296,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_42,2023,257.857,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_43,2023,152.768,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_44,2023,23.642,U,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_51,2023,3225.213,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_52,2023,6845.65,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_53,2023,94.159,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_54,2023,617.101,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_61,2023,16180.621,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_62,2023,121.624,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_63,2023,6470.333,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_71,2023,1711.687,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_72,2023,1089.781,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_73,2023,662.541,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_74,2023,196.503,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_75,2023,4584.75,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_81,2023,1146.343,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_82,2023,47.035,U,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_83,2023,2794.714,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_91,2023,335.127,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_92,2023,1085.879,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_93,2023,1053.963,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_94,2023,1799.962,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),NGA,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_95,2023,132.248,B,NB,PS,3,"LFS - Unemployment, Under-employment Watch",Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,,1,,
